;2rbina2rista;basta;brb;eldzhey;face;feduk;gnoiny;guf;husky;kasta;korzh;krovostok;kunteynir;lizer;lsp;morgenshtern;noizemc;skriptonite;timati;xleb
2rbina2rista;;1.002;1.001;1.001;1.002;1.001;1.002;1.002;1.002;1.002;1.003;1.002;1.001;1.004;1.002;1.002;1.004;1.003;1.002;1.001
basta;1.002;;1.002;1.002;1.002;1.002;1.001;1.002;1.002;1.002;1.002;1.001;1.002;1.002;1.002;1.002;1.002;1.002;1.002;1.002
brb;1.001;1.002;;1.001;1.002;1.001;1.002;1.002;1.002;1.003;1.003;1.002;1.001;1.004;1.002;1.003;1.004;1.003;1.002;1.002
eldzhey;1.001;1.002;1.001;;1.002;1.001;1.002;1.002;1.002;1.002;1.003;1.002;1.001;1.004;1.002;1.002;1.004;1.003;1.001;1.001
face;1.002;1.002;1.002;1.002;;1.002;1.001;1.001;1.001;1.002;1.002;1.002;1.001;1.003;1.001;1.002;1.003;1.002;1.002;1.002
feduk;1.001;1.002;1.001;1.001;1.002;;1.002;1.002;1.002;1.002;1.003;1.002;1.001;1.004;1.002;1.003;1.004;1.003;1.002;1.001
gnoiny;1.002;1.001;1.002;1.002;1.001;1.002;;1.001;1.001;1.002;1.002;1.001;1.002;1.002;1.001;1.002;1.002;1.002;1.002;1.002
guf;1.002;1.002;1.002;1.002;1.001;1.002;1.001;;1.001;1.002;1.002;1.001;1.001;1.002;1.001;1.002;1.003;1.002;1.002;1.002
husky;1.002;1.002;1.002;1.002;1.001;1.002;1.001;1.001;;1.002;1.002;1.001;1.001;1.002;1.001;1.002;1.003;1.002;1.001;1.002
kasta;1.002;1.002;1.003;1.002;1.002;1.002;1.002;1.002;1.002;;1.002;1.001;1.002;1.002;1.002;1.002;1.002;1.002;1.002;1.002
korzh;1.003;1.002;1.003;1.003;1.002;1.003;1.002;1.002;1.002;1.002;;1.002;1.002;1.002;1.002;1.002;1.003;1.002;1.003;1.003
krovostok;1.002;1.001;1.002;1.002;1.002;1.002;1.001;1.001;1.001;1.001;1.002;;1.001;1.002;1.001;1.002;1.002;1.002;1.002;1.002
kunteynir;1.001;1.002;1.001;1.001;1.001;1.001;1.002;1.001;1.001;1.002;1.002;1.001;;1.003;1.001;1.002;1.003;1.002;1.001;1.001
lizer;1.004;1.002;1.004;1.004;1.003;1.004;1.002;1.002;1.002;1.002;1.002;1.002;1.003;;1.002;1.003;1.003;1.002;1.003;1.004
lsp;1.002;1.002;1.002;1.002;1.001;1.002;1.001;1.001;1.001;1.002;1.002;1.001;1.001;1.002;;1.002;1.003;1.002;1.002;1.002
morgenshtern;1.002;1.002;1.003;1.002;1.002;1.003;1.002;1.002;1.002;1.002;1.002;1.002;1.002;1.003;1.002;;1.003;1.002;1.002;1.003
noizemc;1.004;1.002;1.004;1.004;1.003;1.004;1.002;1.003;1.003;1.002;1.003;1.002;1.003;1.003;1.003;1.003;;1.003;1.003;1.004
skriptonite;1.003;1.002;1.003;1.003;1.002;1.003;1.002;1.002;1.002;1.002;1.002;1.002;1.002;1.002;1.002;1.002;1.003;;1.002;1.003
timati;1.002;1.002;1.002;1.001;1.002;1.002;1.002;1.002;1.001;1.002;1.003;1.002;1.001;1.003;1.002;1.002;1.003;1.002;;1.002
xleb;1.001;1.002;1.002;1.001;1.002;1.001;1.002;1.002;1.002;1.002;1.003;1.002;1.001;1.004;1.002;1.003;1.004;1.003;1.002;
